key	suite	cluster	model	ours	want	sameboy	provenance	bucket	evidence
age-test-roms/oam/oam-write-ncmBCE.gb [Cgb]	age	age/oam	Cgb	B=00,C=6B,D=14,E=19,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:ncmBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/speed-switch/caution/spsw-interrupts-cgbBC.gb [Cgb]	age	age/speed-switch	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/speed-switch/spsw-ch2-lc-delay-cgbBCE.gb [Cgb]	age	age/speed-switch	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/speed-switch/spsw-mode0-cgbBCE.gb [Cgb]	age	age/speed-switch	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/speed-switch/spsw-tima-cgbBC.gb [Cgb]	age	age/speed-switch	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-interrupt/stat-int-dmgC-cgbBCE.gb [Cgb]	age	age/stat-interrupt	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:dmgC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode-sprites/stat-mode-sprites-dmgC-cgbBCE.gb [Cgb]	age	age/stat-mode-sprites	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:dmgC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode-sprites/stat-mode-sprites-dmgC-cgbBCE.gb [Dmg]	age	age/stat-mode-sprites	Dmg	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:dmgC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode-sprites/stat-mode-sprites-ds-cgbBCE.gb [Cgb]	age	age/stat-mode-sprites	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode-window/stat-mode-window-cgbBCE.gb [Cgb]	age	age/stat-mode-window	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode-window/stat-mode-window-dmgC.gb [Dmg]	age	age/stat-mode-window	Dmg	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:dmgC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode-window/stat-mode-window-ds-cgbBCE.gb [Cgb]	age	age/stat-mode-window	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode-window/stat-mode-window-ncmBCE.gb [Cgb]	age	age/stat-mode-window	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:ncmBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode/stat-mode-dmgC-cgbBC.gb [Cgb]	age	age/stat-mode	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:dmgC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode/stat-mode-dmgC-cgbBC.gb [Dmg]	age	age/stat-mode	Dmg	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:dmgC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode/stat-mode-ds-cgbBCE.gb [Cgb]	age	age/stat-mode	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/stat-mode/stat-mode-ncmBC.gb [Cgb]	age	age/stat-mode	Cgb	B=00,C=6B,D=14,E=19,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:ncmBC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/vram/vram-read-cgbBCE.gb [Cgb]	age	age/vram	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/vram/vram-read-dmgC.gb [Dmg]	age	age/vram	Dmg	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:dmgC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/vram/vram-read-ncmBCE.gb [Cgb]	age	age/vram	Cgb	B=00,C=6B,D=14,E=19,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:ncmBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
blargg/oam_bug/rom_singles/7-timing_effect.gb [Dmg]	blargg/oam_bug	blargg/oam_bug	Dmg	timeout	protocol-exit	unknown	defect:single-build	JUNK	defective asset (single-build)
gambatte/bgtiledata/bgtiledata_spx08_ds_3.gbc [Cgb]	gambatte	gambatte/bgtiledata	Cgb	136px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtiledata/bgtiledata_spx08_ds_4.gbc [Cgb]	gambatte	gambatte/bgtiledata	Cgb	16px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/bgtiledata/bgtiledata_spx09_ds_1.gbc [Cgb]	gambatte	gambatte/bgtiledata	Cgb	8px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtiledata/bgtiledata_spx09_ds_3.gbc [Cgb]	gambatte	gambatte/bgtiledata	Cgb	8px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtiledata/bgtiledata_spx09_ds_4.gbc [Cgb]	gambatte	gambatte/bgtiledata	Cgb	16px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtilemap/bgtilemap_spx08_ds_1.gbc [Cgb]	gambatte	gambatte/bgtilemap	Cgb	8px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtilemap/bgtilemap_spx08_ds_4.gbc [Cgb]	gambatte	gambatte/bgtilemap	Cgb	8px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtilemap/bgtilemap_spx09_1.gbc [Cgb]	gambatte	gambatte/bgtilemap	Cgb	128px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtilemap/bgtilemap_spx09_2.gbc [Cgb]	gambatte	gambatte/bgtilemap	Cgb	128px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtilemap/bgtilemap_spx09_3.gbc [Cgb]	gambatte	gambatte/bgtilemap	Cgb	128px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtilemap/bgtilemap_spx09_4.gbc [Cgb]	gambatte	gambatte/bgtilemap	Cgb	128px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtilemap/bgtilemap_spx09_ds_1.gbc [Cgb]	gambatte	gambatte/bgtilemap	Cgb	8px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/bgtilemap/bgtilemap_spx09_ds_4.gbc [Cgb]	gambatte	gambatte/bgtilemap	Cgb	8px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/cgbpal_m3/cgbpal_read_m3start_ds_1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/cgbpal_m3	Cgb	FF	00	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/cgbpal_m3/cgbpal_write_m3start_ds_1_cgb04c_out01.gbc [Cgb]	gambatte	gambatte/cgbpal_m3	Cgb	00	01	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/display_startstate/stat_scx2_2_cgb04c_out84.gbc [Cgb]	gambatte	gambatte/display_startstate	Cgb	87	84	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/display_startstate/stat_scx3_2_cgb04c_out84.gbc [Cgb]	gambatte	gambatte/display_startstate	Cgb	87	84	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/gdma_cycles_long_scx2_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lyc-anchor	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	derived: the LYC anchor dispatch dot, not the DMA (the transfer span is exact) — a pure-LYC STAT rise carries no second-half halt-late mask, so the ordinary-line anchors wake one M-cycle early — see cpu-interrupts.md
gambatte/dma/gdma_cycles_long_scx3_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lyc-anchor	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	derived: the LYC anchor dispatch dot, not the DMA (the transfer span is exact) — a pure-LYC STAT rise carries no second-half halt-late mask, so the ordinary-line anchors wake one M-cycle early — see cpu-interrupts.md
gambatte/dma/gdma_cycles_short_scx2_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lyc-anchor	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	derived: the LYC anchor dispatch dot, not the DMA (the transfer span is exact) — a pure-LYC STAT rise carries no second-half halt-late mask, so the ordinary-line anchors wake one M-cycle early — see cpu-interrupts.md
gambatte/dma/gdma_cycles_short_scx3_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lyc-anchor	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	derived: the LYC anchor dispatch dot, not the DMA (the transfer span is exact) — a pure-LYC STAT rise carries no second-half halt-late mask, so the ordinary-line anchors wake one M-cycle early — see cpu-interrupts.md
gambatte/dma/hdma_cycles_scx2_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lyc-anchor	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	derived: the LYC anchor dispatch dot, not the DMA (the transfer span is exact) — a pure-LYC STAT rise carries no second-half halt-late mask, so the ordinary-line anchors wake one M-cycle early — see cpu-interrupts.md
gambatte/dma/hdma_cycles_scx3_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/lyc-anchor	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	derived: the LYC anchor dispatch dot, not the DMA (the transfer span is exact) — a pure-LYC STAT rise carries no second-half halt-late mask, so the ordinary-line anchors wake one M-cycle early — see cpu-interrupts.md
gambatte/dma/hdma_disable_display_1_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/dma	Cgb	0	1	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_ei_m3halt_m2unhalt_ly_scx1_4_cgb04c_out03.gbc [Cgb]	gambatte	gambatte/dma	Cgb	02	03	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_enable_ds_1_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/dma	Cgb	0	1	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_enable_lcdoffset3_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/dma	Cgb	1	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_if_and_ie_halt_1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	02	00	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m0halt_1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	FF	00	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m0halt_ds_1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	FF	00	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m0halt_ds_lcdoffset1_1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	FF	00	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m0unhalt_2_cgb04c_outFF.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	FF	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m0unhalt_ds_2_cgb04c_outFF.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	FF	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m3halt_m2unhalt_inc_scx1_2_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/dma	Cgb	01	02	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3halt_m2unhalt_inc_scx2_2_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/dma	Cgb	01	02	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3halt_m2unhalt_ly_scx1_4_cgb04c_out03.gbc [Cgb]	gambatte	gambatte/dma	Cgb	02	03	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m3halt_m2unhalt_ly_scx2_4_cgb04c_out03.gbc [Cgb]	gambatte	gambatte/dma	Cgb	02	03	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m3speedchange_hdma5_scx1_2_cgb04c_out80.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	80	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3speedchange_hdma5_scx1_ds_2_cgb04c_outFF.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	FF	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3speedchange_hdma5_scx2_2_cgb04c_out80.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	80	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3speedchange_hdma5_scx2_ds_2_cgb04c_outFF.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	FF	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m3speedchange_inc_scx1_2_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/dma	Cgb	01	02	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3speedchange_ly_scx1_2_cgb04c_out93.gbc [Cgb]	gambatte	gambatte/dma	Cgb	92	93	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m3speedchange_ly_scx1_4_cgb04c_out93.gbc [Cgb]	gambatte	gambatte/dma	Cgb	92	93	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3speedchange_ly_scx1_6_cgb04c_out93.gbc [Cgb]	gambatte	gambatte/dma	Cgb	92	93	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3speedchange_read_hdmadst00_scx1_2_cgb04c_out9F.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	9F	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3speedchange_read_hdmadst00_scx1_ds_2_cgb04c_out9F.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	9F	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3speedchange_read_hdmadst00_scx2_2_cgb04c_out9F.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	9F	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m3speedchange_read_hdmadst00_scx2_ds_2_cgb04c_out9F.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	9F	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_late_m3speedchange_tima_scx1_ds_3_cgb04c_outF6.gbc [Cgb]	gambatte	gambatte/dma	Cgb	F4	F6	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_m3speedchange_tima_scx1_ds_4_cgb04c_outF7.gbc [Cgb]	gambatte	gambatte/dma	Cgb	F4	F7	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_late_speedchange_inc_scx1_ds_2_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/dma	Cgb	01	02	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_m0speedchange_late_m3wakeup_scx1_2_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	FF	00	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_m0speedchange_late_m3wakeup_scx2_2_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	FF	00	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_pc_7ffe_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/dma	Cgb	80	02	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_transition_7fffhalt_inc_m3unhalt_cgb04c_out01.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	01	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_ei_halt_late_unhalt_ldaaimm_hdma_scx1_1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	84	00	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_ei_halt_late_unhalt_ldaaimm_hdma_scx1_2_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/dma	Cgb	85	02	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_ei_halt_late_unhalt_scx1_1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	FF	00	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_transition_halt_late_unhalt_ldaaimm_hdma_scx1_1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	01	00	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_halt_late_unhalt_ldaaimm_hdma_scx1_2_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/dma	Cgb	FF	02	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_halt_late_unhalt_scx1_1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	FF	00	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/hdma_transition_halt_m0unhalt_ldaaimm_scx1_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/dma	Cgb	01	02	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_speedchange_7fffstop_inc_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/dma	Cgb	01	02	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_speedchange_hdmalen00_hdma5_scx1_cgb04c_out80.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	80	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_speedchange_hdmalen01_hdma5_scx1_cgb04c_out81.gbc [Cgb]	gambatte	gambatte/dma	Cgb	01	81	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_speedchange_hdmalen01_hdmadst10_scx1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	01	00	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_speedchange_hdmalen7f_hdma5_scx1_cgb04c_outFF.gbc [Cgb]	gambatte	gambatte/dma	Cgb	7F	FF	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_speedchange_hdmalen7f_hdmadst10_scx1_cgb04c_out00.gbc [Cgb]	gambatte	gambatte/dma	Cgb	01	00	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_speedchange_ldaaimm_scx1_cgb04c_outFF.gbc [Cgb]	gambatte	gambatte/dma	Cgb	31	FF	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_speedchange_ldaaimm_scx1_ds_cgb04c_out03.gbc [Cgb]	gambatte	gambatte/dma	Cgb	31	03	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dma/hdma_transition_speedchange_oamdma_cgb04c_out71.gbc [Cgb]	gambatte	gambatte/dma	Cgb	72	71	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dma/late_gdma_pc_7ffe_1_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/dma	Cgb	00	02	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/dmgpalette_during_m3/dmgpalette_during_m3_3.gb [Dmg]	gambatte	gambatte/dmgpalette_during_m3	Dmg	1px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dmgpalette_during_m3/dmgpalette_during_m3_4.gb [Dmg]	gambatte	gambatte/dmgpalette_during_m3	Dmg	144px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dmgpalette_during_m3/dmgpalette_during_m3_5.gb [Dmg]	gambatte	gambatte/dmgpalette_during_m3	Dmg	144px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dmgpalette_during_m3/dmgpalette_during_m3_scx1_4.gb [Dmg]	gambatte	gambatte/dmgpalette_during_m3	Dmg	144px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dmgpalette_during_m3/lycint_dmgpalette_during_m3_3.gb [Dmg]	gambatte	gambatte/dmgpalette_during_m3	Dmg	143px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dmgpalette_during_m3/lycint_dmgpalette_during_m3_4.gb [Dmg]	gambatte	gambatte/dmgpalette_during_m3	Dmg	143px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dmgpalette_during_m3/scx3/dmgpalette_during_m3_4.gb [Dmg]	gambatte	gambatte/dmgpalette_during_m3	Dmg	1px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/dmgpalette_during_m3/scx3/dmgpalette_during_m3_5.gb [Dmg]	gambatte	gambatte/dmgpalette_during_m3	Dmg	144px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/enable_display/enable_display_ly0_oambusy_read_ds_1_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	7	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/frame0_m0irq_count_scx2_ds_2_cgb04c_out90.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	01	90	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/frame0_m1stat_ds_2_cgb04c_out81.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	80	81	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/enable_display/frame0_m2stat_count_1_dmg08_cgb04c_out91.gbc [Cgb]	gambatte	gambatte/enable_display	Cgb	01	91	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
